movie_id,f_rep,percent_profit,vote_average
11,0.0833,7049.07,8.2
12,0.1765,1000.36,7.8
13,0.2667,1232.63,8.4
14,0.6000,2375.31,8
15,0.1250,2764.91,8.1
16,0.3000,312.75,7.9
18,0.1176,293.24,7.4
22,0.4444,467.87,7.7
24,0.4545,603.16,7.9
28,0.2000,284.00,8.2
33,0.2500,1136.84,7.9
38,0.3000,361.29,8.1
63,0.2308,572.34,7.5
69,0.2857,665.85,7.4
70,0.2308,722.55,7.9
71,0.4000,2185.61,7.6
73,0.2857,119.38,8.4
77,0.1667,441.37,8.2
78,0.2222,117.39,7.9
85,0.0714,2166.26,7.9
89,0.0667,987.86,7.8
93,0.2857,NULL,7.9
98,0.0833,444.31,8.1
100,0.1111,2100.46,8.1
103,0.2857,2174.04,8.2
105,0.2857,2005.84,8.2
106,0.1250,655.12,7.4
111,0.1667,263.54,8.1
115,0.1429,307.93,7.9
117,0.1667,305.08,7.8
120,0.1579,936.96,8.3
121,0.1429,1172.52,8.3
122,0.1600,1190.31,8.4
136,1.0000,NULL,7.8
137,0.2857,485.66,7.5
141,0.5385,21.18,7.8
142,0.6364,1271.74,7.8
153,0.6667,2993.10,7.4
154,0.3333,806.67,7.5
155,0.1765,543.00,8.4
162,0.3077,265.00,7.7
164,0.2500,380.00,7.8
165,0.2222,830.00,7.7
186,0.1818,208.55,7.5
187,0.3478,396.83,7.4
196,0.5000,611.32,7.4
197,0.2500,291.67,7.9
205,0.2857,217.14,7.7
207,0.1667,1438.17,8.3
213,0.2727,331.88,8
218,0.2222,1224.55,7.5
220,0.3333,500.00,7.7
221,0.2000,300.00,7.7
226,0.7500,577.03,7.5
229,0.4286,NULL,7.6
238,0.1765,4084.44,8.6
239,0.2500,866.90,8.2
240,0.2500,789.23,8.5
244,0.3333,1488.10,7.7
247,0.2000,NULL,7.7
261,0.5000,585.68,7.8
272,0.1905,249.48,7.6
274,0.1000,1435.49,8.3
275,0.1667,865.89,7.9
279,0.2222,288.74,8
280,0.1538,509.80,7.9
284,0.5000,833.33,8.2
288,0.2000,1095.89,7.7
289,0.1250,1191.63,8.1
